date,top10_gross,change_YD,change_LW,releases,title,daily_gross,scrape_date
Sep 17,9327608,-31.6%,+31.7%,36,Demon Slayer: Kimetsu no Yaiba Infinity Castle,3688264,2025-12-21
Sep 16,13642374,+25.7%,+19.4%,37,Demon Slayer: Kimetsu no Yaiba Infinity Castle,5445821,2025-12-21
Sep 15,10850608,-67.9%,+32.3%,36,Demon Slayer: Kimetsu no Yaiba Infinity Castle,5047559,2025-12-21
Sep 14,33845891,-28.1%,+20.2%,39,Demon Slayer: Kimetsu no Yaiba Infinity Castle,16015917,2025-12-21
Sep 13,47104895,-20.5%,+4.6%,40,Demon Slayer: Kimetsu no Yaiba Infinity Castle,21610856,2025-12-21
Sep 12,59234011,"+1,042.2%",+31.7%,40,Demon Slayer: Kimetsu no Yaiba Infinity Castle,32984325,2025-12-21
Sep 11,5186060,-26.8%,+90.8%,38,The Conjuring: Last Rites,3351858,2025-12-21
Sep 10,7084852,-38%,+87.2%,38,The Conjuring: Last Rites,4348265,2025-12-21
Sep 9,11427031,+39.3%,+103.3%,39,The Conjuring: Last Rites,7498287,2025-12-21
Sep 8,8203322,-70.9%,-43.3%,38,The Conjuring: Last Rites,5748553,2025-12-21
Sep 7,28149894,-37.5%,+47.2%,40,The Conjuring: Last Rites,18951381,2025-12-21
Sep 6,45012423,<0.1%,+131.3%,41,The Conjuring: Last Rites,30402215,2025-12-21
Sep 5,44987822,"+1,554.7%",+160.3%,40,The Conjuring: Last Rites,34652525,2025-12-21
Sep 4,2718720,-28.2%,-39.4%,39,Weapons,534514,2025-12-21
Sep 3,3784354,-32.7%,-22.6%,38,Weapons,784217,2025-12-21
Sep 2,5620111,-61.2%,-28.4%,39,Weapons,1073573,2025-12-21
Sep 1Labor Day,14468693,-27.1%,-36.6%,38,Weapons,2622989,2025-12-21
Aug 31,19122334,-1.8%,-14.9%,40,Weapons,3890283,2025-12-21
Aug 30,19463663,+12.6%,-36.9%,40,Weapons,3865945,2025-12-21
Aug 29,17285753,+285.1%,+5%,40,Caught Stealing,3221978,2025-12-21
Aug 28,4488189,-8.2%,-44%,38,Weapons,1334704,2025-12-21
Aug 27,4887036,-37.7%,-46.4%,38,Weapons,1448485,2025-12-21
Aug 26,7846419,+57%,-40.5%,39,Weapons,2225217,2025-12-21
Aug 25,4999168,-77.8%,-42%,39,Weapons,1497322,2025-12-21
Aug 24,22479876,-27.1%,-6.9%,43,KPop Demon Hunters,8400000,2025-12-21
Aug 23,30826574,+87.2%,-7.1%,43,KPop Demon Hunters,9600000,2025-12-21
Aug 22,16463702,+105.3%,-35.4%,42,Weapons,4700596,2025-12-21
Aug 21,8017752,-12%,-41.1%,34,Weapons,2413663,2025-12-21
Aug 20,9110697,-30.9%,-32%,33,Weapons,2703836,2025-12-21
Aug 19,13192210,+53.1%,-37.4%,31,Weapons,3901381,2025-12-21
Aug 18,8614832,-64.3%,-40.6%,32,Weapons,2760217,2025-12-21
Aug 17,24144464,-27.3%,-30.2%,33,Weapons,7255096,2025-12-21
Aug 16,33197803,+30.2%,-27.5%,35,Weapons,9675969,2025-12-21
Aug 15,25494546,+87.4%,-45.8%,34,Weapons,7525938,2025-12-21
Aug 14,13602422,+1.5%,+28.5%,29,Weapons,4075315,2025-12-21
Aug 13,13402888,-36.4%,-10.4%,27,Weapons,4470778,2025-12-21
Aug 12,21068683,+45.4%,+4.6%,29,Weapons,6746545,2025-12-21
Aug 11,14492323,-58.1%,+0.3%,27,Weapons,5250868,2025-12-21
Aug 10,34588082,-24.5%,+3.3%,27,Weapons,11320431,2025-12-21
Aug 9,45810572,-2.6%,+3.6%,27,Weapons,14010307,2025-12-21
Aug 8,47053855,+344.5%,+20.8%,27,Weapons,18170479,2025-12-21
Aug 7,10586569,-29.2%,-33.7%,27,The Fantastic Four: First Steps,2948856,2025-12-21
Aug 6,14956078,-25.7%,-22.8%,28,The Fantastic Four: First Steps,3924647,2025-12-21
Aug 5,20136567,+39.4%,-21.9%,27,The Fantastic Four: First Steps,6371138,2025-12-21
Aug 4,14444330,-56.8%,-21%,26,The Fantastic Four: First Steps,4544681,2025-12-21
Aug 3,33467783,-24.3%,-27.8%,27,The Fantastic Four: First Steps,11672817,2025-12-21
Aug 2,44232602,+13.6%,-23.2%,28,The Fantastic Four: First Steps,15370367,2025-12-21
Aug 1,38937959,+143.8%,-48.7%,28,The Fantastic Four: First Steps,11652568,2025-12-21
Jul 31,15968005,-17.6%,+30.3%,30,The Fantastic Four: First Steps,7514899,2025-12-21
Jul 30,19378078,-24.8%,+26%,30,The Fantastic Four: First Steps,8657354,2025-12-21
Jul 29,25776824,+41%,+10.3%,30,The Fantastic Four: First Steps,14189835,2025-12-21
Jul 28,18279776,-60.6%,+17.5%,30,The Fantastic Four: First Steps,10420719,2025-12-21
Jul 27,46341650,-19.5%,+15.8%,31,The Fantastic Four: First Steps,27049949,2025-12-21
Jul 26,57559797,-24.2%,+15.5%,30,The Fantastic Four: First Steps,33329313,2025-12-21
Jul 25,75926829,+519.4%,+85.9%,30,The Fantastic Four: First Steps,57265566,2025-12-21
Jul 24,12257224,-20.3%,-42.3%,25,Superman,4790162,2025-12-21
Jul 23,15378422,-34.2%,-32.9%,27,Superman,6637061,2025-12-21
Jul 22,23361569,+50.2%,-24.9%,29,Superman,10072283,2025-12-21
Jul 21,15558461,-61.1%,-30.7%,27,Superman,6908516,2025-12-21
Jul 20,40020885,-19.7%,-26.3%,31,Superman,18858328,2025-12-21
Jul 19,49846276,+22%,-26.2%,30,Superman,23026404,2025-12-21
Jul 18,40842549,+92.3%,-47.4%,31,Superman,16565362,2025-12-21
Jul 17,21234253,-7.3%,+42.9%,31,Superman,10957906,2025-12-21
Jul 16,22916886,-26.3%,+17.1%,32,Superman,11780246,2025-12-21
Jul 15,31115754,+38.6%,+16.1%,30,Superman,17121947,2025-12-21
Jul 14,22457656,-58.6%,+10.2%,30,Superman,12901628,2025-12-21
Jul 13,54273529,-19.7%,+12%,31,Superman,31305442,2025-12-21
Jul 12,67549067,-13%,+8.9%,30,Superman,37606538,2025-12-21
Jul 11,77639423,+422.5%,+84.5%,29,Superman,56109755,2025-12-21
Jul 10,14860068,-24.1%,-63%,26,Jurassic World: Rebirth,7503405,2025-12-21
Jul 9,19574206,-27%,-54.3%,26,Jurassic World: Rebirth,10035430,2025-12-21
Jul 8,26806930,+31.5%,+18.6%,26,Jurassic World: Rebirth,15051985,2025-12-21
Jul 7,20386662,-57.9%,+20.5%,26,Jurassic World: Rebirth,11702195,2025-12-21
Jul 6,48455343,-21.9%,+42.6%,30,Jurassic World: Rebirth,28951835,2025-12-21
Jul 5,62045942,+47.5%,+42.7%,29,Jurassic World: Rebirth,36828780,2025-12-21
Jul 4Independence Day,42074376,+4.7%,-9.9%,28,Jurassic World: Rebirth,26235450,2025-12-21
Jul 3,40179952,-6.2%,+228.3%,28,Jurassic World: Rebirth,25300775,2025-12-21
Jul 2,42842867,+89.6%,+204.4%,30,Jurassic World: Rebirth,30503855,2025-12-21
Jul 1,22596355,+33.5%,+8.4%,28,F1: The Movie,8631561,2025-12-21
Jun 30,16921787,-50.2%,+23.7%,28,F1: The Movie,6956814,2025-12-21
Jun 29,33982440,-21.8%,+6.1%,30,F1: The Movie,14498272,2025-12-21
Jun 28,43465562,-7%,+0.1%,29,F1: The Movie,17502336,2025-12-21
Jun 27,46712980,+281.7%,+4.7%,29,F1: The Movie,25001059,2025-12-21
Jun 26,12239014,-13%,-35.5%,28,How to Train Your Dragon,4070345,2025-12-21
Jun 25,14073974,-32.5%,-16.6%,28,How to Train Your Dragon,4780860,2025-12-21
Jun 24,20836037,+52.3%,-8%,29,How to Train Your Dragon,7129945,2025-12-21
Jun 23,13680637,-57.3%,-13.9%,27,How to Train Your Dragon,4613280,2025-12-21
Jun 22,32038583,-26.2%,-26.1%,30,How to Train Your Dragon,11115115,2025-12-21
Jun 21,43417418,-2.7%,-13.5%,31,How to Train Your Dragon,14541040,2025-12-21
Jun 20,44630147,+135.1%,-18.6%,31,28 Years Later,14473891,2025-12-21
Jun 19,18985954,+12.5%,+127.4%,26,How to Train Your Dragon,9764735,2025-12-21
Jun 18,16878969,-25.5%,+68.2%,27,How to Train Your Dragon,8456110,2025-12-21
Jun 17,22644840,+42.5%,+40.1%,26,How to Train Your Dragon,12095560,2025-12-21
Jun 16,15886349,-63.3%,+40.8%,27,How to Train Your Dragon,8535575,2025-12-21
Jun 15,43331799,-13.6%,+47.8%,26,How to Train Your Dragon,22688410,2025-12-21
Jun 14,50178165,-8.5%,+23.7%,26,How to Train Your Dragon,26595165,2025-12-21
Jun 13,54819951,+556.6%,+56%,27,How to Train Your Dragon,35349740,2025-12-21
Jun 12,8348523,-16.8%,-35.6%,28,Lilo & Stitch,2862192,2025-12-21
Jun 11,10037569,-37.9%,-24.3%,29,Lilo & Stitch,3325374,2025-12-21
Jun 10,16162480,+43.2%,-20%,30,Lilo & Stitch,5395656,2025-12-21
Jun 9,11282988,-61.5%,-14.9%,30,Lilo & Stitch,3629699,2025-12-21
Jun 8,29323587,-27.7%,-29.9%,29,Lilo & Stitch,9768643,2025-12-21
Jun 7,40574125,+15.5%,-30.7%,30,Lilo & Stitch,13205291,2025-12-21
Jun 6,35132544,+170.9%,-18.5%,29,Ballerina,10526813,2025-12-21
Jun 5,12966973,-2.3%,-29.1%,29,Lilo & Stitch,5151565,2025-12-21
Jun 4,13268122,-34.4%,-35.2%,27,Lilo & Stitch,5405822,2025-12-21
Jun 3,20215652,+52.6%,-30.5%,28,Lilo & Stitch,8500417,2025-12-21
Jun 2,13251680,-68.3%,-79.7%,27,Lilo & Stitch,5308433,2025-12-21
Jun 1,41812270,-28.6%,-47%,29,Lilo & Stitch,18801384,2025-12-21
May 31,58565098,+35.8%,-33.1%,30,Lilo & Stitch,25868621,2025-12-21
May 30,43113548,+135.7%,-55.2%,30,Lilo & Stitch,17138621,2025-12-21
May 29,18293119,-10.7%,+175.1%,29,Lilo & Stitch,9247450,2025-12-21
May 28,20488727,-29.5%,+127.3%,29,Lilo & Stitch,10072424,2025-12-21
May 27,29079759,-55.5%,+133.5%,29,Lilo & Stitch,15200982,2025-12-21
May 26Memorial Day,65334834,-17.1%,+513.2%,31,Lilo & Stitch,36584451,2025-12-21
May 25,78844284,-9.9%,+194.2%,31,Lilo & Stitch,42249999,2025-12-21
May 24,87493340,-9.2%,+124.3%,31,Lilo & Stitch,47823374,2025-12-21
May 23,96319861,"+1,348.3%",+167.7%,30,Lilo & Stitch,55942802,2025-12-21
May 22,6650678,-26.2%,+10.8%,39,Final Destination: Bloodlines,3057536,2025-12-21
May 21,9015369,-27.6%,+32.5%,40,Final Destination: Bloodlines,4235806,2025-12-21
May 20,12451826,+16.9%,+21.5%,39,Final Destination: Bloodlines,6187733,2025-12-21
May 19,10654570,-60.2%,+47.1%,41,Final Destination: Bloodlines,5051216,2025-12-21
May 18,26796430,-31.3%,+10.5%,41,Final Destination: Bloodlines,12675177,2025-12-21
May 17,39008398,+8.4%,+19.6%,40,Final Destination: Bloodlines,17965375,2025-12-21
May 16,35976658,+499.2%,+51.1%,41,Final Destination: Bloodlines,20959554,2025-12-21
May 15,6003975,-11.8%,-36.6%,37,Sinners,2249164,2025-12-21
May 14,6803611,-33.6%,-30.7%,40,Thunderbolts*,2413438,2025-12-21
May 13,10247759,+41.5%,-33.4%,39,Thunderbolts*,4000911,2025-12-21
May 12,7240626,-70.1%,-30.6%,38,Thunderbolts*,2653124,2025-12-21
May 11,24240695,-25.6%,-36%,40,Thunderbolts*,9795526,2025-12-21
May 10,32603258,+36.9%,-38.7%,39,Thunderbolts*,13509770,2025-12-21
May 9,23807206,+151.5%,-52.5%,41,Thunderbolts*,9085515,2025-12-21
May 8,9465426,-3.6%,+9.9%,35,Thunderbolts*,4263198,2025-12-21
May 7,9814882,-36.3%,-28.4%,36,Thunderbolts*,4318188,2025-12-21
May 6,15398242,+47.6%,-6.4%,35,Thunderbolts*,7463926,2025-12-21
May 5,10432180,-72.4%,-14.8%,36,Thunderbolts*,5008275,2025-12-21
May 4,37862083,-28.8%,-3.4%,36,Thunderbolts*,17804419,2025-12-21
May 3,53160532,+6.1%,-3.4%,37,Thunderbolts*,24683098,2025-12-21
May 2,50124436,+481.8%,+8.4%,38,Thunderbolts*,31813091,2025-12-21
May 1,8615779,-37.1%,-24.3%,42,Sinners,4986486,2025-12-21
Apr 30,13708425,-16.7%,+5.7%,42,Sinners,6102652,2025-12-21
Apr 29,16452063,+34.3%,-1.2%,42,Sinners,6898084,2025-12-21
Apr 28,12246691,-68.7%,-33.7%,43,Sinners,5506409,2025-12-21
Apr 27,39174774,-28.8%,+24.7%,43,Sinners,13878130,2025-12-21
Apr 26,55042655,+19.1%,+16.3%,42,Sinners,18813813,2025-12-21
Apr 25,46223144,+306.3%,-7.2%,42,Sinners,13016721,2025-12-21
Apr 24,11377351,-12.3%,-13.7%,43,Sinners,6001255,2025-12-21
Apr 23,12969366,-22.1%,+0.8%,41,Sinners,7116336,2025-12-21
Apr 22,16653961,-9.9%,-4.2%,40,Sinners,8601183,2025-12-21
Apr 21,18483499,-41.2%,+58.5%,40,Sinners,7800185,2025-12-21
Apr 20Easter Sunday,31410439,-33.7%,-22%,40,Sinners,12303650,2025-12-21
Apr 19,47346297,-4.9%,-18.1%,40,Sinners,16501469,2025-12-21
Apr 18,49802638,+277.9%,+9.9%,40,Sinners,19202349,2025-12-21
Apr 17,13179654,+2.4%,+45.5%,38,A Minecraft Movie,6529347,2025-12-21
Apr 16,12872638,-25.9%,+20.4%,41,A Minecraft Movie,5458906,2025-12-21
Apr 15,17376468,+49%,+0.9%,38,A Minecraft Movie,7473168,2025-12-21
Apr 14,11663086,-71%,-10.5%,41,A Minecraft Movie,5000237,2025-12-21
Apr 13,40281131,-30.3%,-28.2%,40,A Minecraft Movie,23500404,2025-12-21
Apr 12,57799883,+27.5%,-20.9%,40,A Minecraft Movie,34501941,2025-12-21
Apr 11,45319807,+400.2%,-33%,39,A Minecraft Movie,20500779,2025-12-21
Apr 10,9061191,-15.2%,+163.7%,37,A Minecraft Movie,7159616,2025-12-21
Apr 9,10691528,-37.9%,+126.5%,37,A Minecraft Movie,7758325,2025-12-21
Apr 8,17226912,+32.2%,+123.3%,37,A Minecraft Movie,12763670,2025-12-21
Apr 7,13027088,-76.8%,+109.8%,38,A Minecraft Movie,9927119,2025-12-21
Apr 6,56120836,-23.2%,+203.7%,42,A Minecraft Movie,46229840,2025-12-21
Apr 5,73067387,+7.9%,+181.3%,41,A Minecraft Movie,59409839,2025-12-21
Apr 4,67691219,"+1,870%",+172.6%,43,A Minecraft Movie,57113324,2025-12-21
Apr 3,3436123,-27.2%,-9.3%,41,A Working Man,894237,2025-12-21
Apr 2,4720745,-38.8%,+0.1%,42,A Working Man,984738,2025-12-21
Apr 1,7714903,+24.2%,-2%,42,A Working Man,1868725,2025-12-21
Mar 31,6210738,-66.4%,+22.6%,41,Snow White,1348109,2025-12-21
Mar 30,18479148,-28.9%,+7%,47,Snow White,4426581,2025-12-21
Mar 29,25974541,+4.6%,-1.6%,47,Snow White,6146320,2025-12-21
Mar 28,24835960,+555.7%,+5.2%,49,A Working Man,5614213,2025-12-21
Mar 27,3787962,-19.7%,+4.9%,42,Snow White,1809215,2025-12-21
Mar 26,4714624,-40.1%,+8.3%,43,Snow White,2083183,2025-12-21
Mar 25,7873034,+55.4%,+20.4%,43,Snow White,4001288,2025-12-21
Mar 24,5065241,-70.7%,+20.4%,43,Snow White,2514482,2025-12-21
Mar 23,17277385,-34.6%,+40.5%,47,Snow White,10330662,2025-12-21
Mar 22,26401524,+11.9%,+46.2%,47,Snow White,15620436,2025-12-21
Mar 21,23604370,+553.9%,+55.9%,48,Snow White,16255317,2025-12-21
Mar 20,3609951,-17.1%,-9.4%,48,Mickey 17,597901,2025-12-21
Mar 19,4354830,-33.4%,-4%,48,Novocaine,719630,2025-12-21
Mar 18,6541746,+55.4%,-6.1%,47,Novocaine,1187026,2025-12-21
Mar 17,4208691,-65.8%,-5.1%,46,Novocaine,739572,2025-12-21
Mar 16,12296345,-31.9%,-4.3%,50,Mickey 17,2168131,2025-12-21
Mar 15,18054344,+19.3%,-9.8%,51,Mickey 17,3088842,2025-12-21
Mar 14,15138046,+280.1%,-3.5%,50,Novocaine,3916495,2025-12-21
Mar 13,3982910,-12.2%,+22%,49,Mickey 17,1210971,2025-12-21
Mar 12,4538429,-34.9%,+26.5%,48,Mickey 17,1461026,2025-12-21
Mar 11,6968123,+57.2%,+30.4%,48,Mickey 17,2520626,2025-12-21
Mar 10,4433995,-65.5%,+32.1%,48,Mickey 17,1581557,2025-12-21
Mar 9,12849106,-35.8%,-2.4%,50,Mickey 17,4574026,2025-12-21
Mar 8,20012325,+27.6%,+0.2%,50,Mickey 17,6702116,2025-12-21
Mar 7,15683528,+380.2%,+27.4%,50,Mickey 17,7726710,2025-12-21
Mar 6,3265871,-9%,-15.5%,47,Captain America: Brave New World,932577,2025-12-21
Mar 5,3588110,-32.9%,-12.4%,48,Captain America: Brave New World,1021083,2025-12-21
Mar 4,5344156,+59.2%,-22.8%,47,Captain America: Brave New World,1551038,2025-12-21
Mar 3,3357357,-74.5%,-25%,45,Captain America: Brave New World,1032239,2025-12-21
Mar 2,13161926,-34.1%,-29.9%,48,Captain America: Brave New World,4446456,2025-12-21
Mar 1,19963984,+62.2%,-32.5%,48,Captain America: Brave New World,6845635,2025-12-21
Feb 28,12310245,+218.3%,-38.1%,48,Captain America: Brave New World,3558797,2025-12-21
Feb 27,3867047,-5.6%,-40.7%,42,Captain America: Brave New World,1506713,2025-12-21
Feb 26,4098038,-40.8%,-42.7%,43,Captain America: Brave New World,1558787,2025-12-21
Feb 25,6923480,+54.7%,-41.3%,42,Captain America: Brave New World,2697013,2025-12-21
Feb 24,4476368,-76.2%,-81%,42,Captain America: Brave New World,1758254,2025-12-21
Feb 23,18775490,-36.5%,-46.3%,44,Captain America: Brave New World,8020294,2025-12-21
Feb 22,29571166,+48.7%,-36.1%,44,Captain America: Brave New World,12867133,2025-12-21
Feb 21,19888424,+205.1%,-68.5%,45,Captain America: Brave New World,7282666,2025-12-21
Feb 20,6518846,-8.9%,+101.3%,45,Captain America: Brave New World,3245332,2025-12-21
Feb 19,7157290,-39.3%,+97.3%,44,Captain America: Brave New World,3419116,2025-12-21
Feb 18,11785560,-49.9%,+113%,45,Captain America: Brave New World,6320276,2025-12-21
Feb 17Presidents' Day,23504343,-32.7%,+339.7%,49,Captain America: Brave New World,11178411,2025-12-21
Feb 16,34938706,-24.5%,+303.9%,46,Captain America: Brave New World,20210815,2025-12-21
Feb 15,46251411,-26.7%,+109.4%,46,Captain America: Brave New World,27719411,2025-12-21
Feb 14,63078059,"+1,847.6%",+304.1%,46,Captain America: Brave New World,40912377,2025-12-21
Feb 13,3238739,-10.7%,-2.4%,50,Heart Eyes,820474,2025-12-21
