title,imdb_rating,weekend_revenue,date.x,weekend_revenue_num,date.y,top10_gross,change_YD,change_LW,releases,daily_gross,scrape_date
Wicked: For Good,7,$8.5M,2025-12-17,8500000,Nov 24,19055980,-56%,+294.7%,34,14701415,2025-12-17
Wicked: For Good,7,$8.5M,2025-12-17,8500000,Nov 23,43318413,-23.3%,+161.2%,37,34471585,2025-12-17
Wicked: For Good,7,$8.5M,2025-12-17,8500000,Nov 22,56464675,-28.4%,+112.6%,38,43415440,2025-12-17
Wicked: For Good,7,$8.5M,2025-12-17,8500000,Nov 21,78856453,"+1,808.7%",+231.1%,36,69117615,2025-12-17
Dhurandhar,8.6,$3.5M,2025-12-17,3500000,NA,NA,NA,NA,NA,NA,NA
Now You See Me: Now You Don't,6.2,$2.4M,2025-12-17,2400000,Nov 20,4131461,-18.7%,+0.5%,42,1254859,2025-12-17
Now You See Me: Now You Don't,6.2,$2.4M,2025-12-17,2400000,Nov 19,5084591,-37.4%,-4.7%,45,1429974,2025-12-17
Now You See Me: Now You Don't,6.2,$2.4M,2025-12-17,2400000,Nov 18,8116880,+68.1%,-34.4%,44,2554095,2025-12-17
Now You See Me: Now You Don't,6.2,$2.4M,2025-12-17,2400000,Nov 17,4827567,-70.9%,-34.5%,45,1456399,2025-12-17
Now You See Me: Now You Don't,6.2,$2.4M,2025-12-17,2400000,Nov 16,16581919,-37.6%,-8.9%,46,4929624,2025-12-17
Now You See Me: Now You Don't,6.2,$2.4M,2025-12-17,2400000,Nov 15,26555611,+11.5%,-5.7%,46,7697023,2025-12-17
Now You See Me: Now You Don't,6.2,$2.4M,2025-12-17,2400000,Nov 14,23813555,+479.1%,-12.7%,46,8387146,2025-12-17
Jujutsu Kaisen: Execution,6.5,$2.1M,2025-12-17,2100000,NA,NA,NA,NA,NA,NA,NA
Ella McCay,5.3,$2M,2025-12-17,2000000,NA,NA,NA,NA,NA,NA,NA
How the Grinch Stole Christmas,6.4,$1.9M,2025-12-17,1900000,NA,NA,NA,NA,NA,NA,NA
Eternity,7.3,$1.8M,2025-12-17,1800000,NA,NA,NA,NA,NA,NA,NA
The Shining,8.4,$1.6M,2025-12-17,1600000,NA,NA,NA,NA,NA,NA,NA
